@relation 'Affect_Clip_Labels_full-weka.filters.unsupervised.attribute.Remove-V-R4,106,157,55,26,176,23,77,74,147,205-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,5,6,7,10,11-weka.filters.supervised.instance.SMOTE-C0-K5-P560.0-S1-weka.filters.unsupervised.instance.Randomize-S42'

@attribute averagecorrect numeric
@attribute mincorrect numeric
@attribute sumcorrect numeric
@attribute averagepercentcorrectperskill numeric
@attribute sumhinttotal numeric
@attribute averagehinttotal numeric
@attribute mintotalfrattempted numeric
@attribute class {no,yes}

@data
0.333333,0,1,0.588889,3,1,21,no
1,1,1,1,0,0,25,no
0.6,0,3,0.382179,0,0,25,no
1,1,3,0.56133,0,0,268,no
0,0,0,0,0,0,10,no
1,1,1,1,2,2,4,no
0.333333,0,1,0.611111,0,0,129,no
1,1,1,0.8,0,0,67,no
0,0,0,0.2,3,3,5,no
0,0,0,0.318182,3,3,13,yes
0,0,0,0.5,0,0,205,no
1,1,1,1,0,0,81,no
1,1,2,0.436782,0,0,200,no
1,1,1,0.5,0,0,2,no
1,1,1,0.714286,0,0,169,no
1,1,2,0.472868,0,0,65,no
0,0,0,0.166667,0,0,32,no
0.106848,0,0.646364,0.336437,3.889132,1.606958,40.798363,yes
1,1,1,0.786885,0,0,255,no
0,0,0,0.5,0,0,40,no
0,0,0,0.291391,12,3,15,yes
0,0,0,0.928571,0,0,152,no
0,0,0,0,3,3,11,no
0,0,0,0.124973,3,3,45.063501,yes
0,0,0,0.8,2,2,8,no
0.2,0,1,0.385528,0,0,320,no
0,0,0,0.4,0,0,17,yes
1,1,1,1,3,3,16,no
1,1,1,1,0,0,27,no
1,1,3,0.732479,0,0,98,no
0,0,0,0.167622,2.398142,2.237408,3.055982,yes
0,0,0,0.214005,0,0,18.576932,yes
1,1,1,0.75,0,0,42,no
0.028802,0.08508,0.596859,0.840142,0,0,2.176921,yes
0,0,0,0.431845,0,0,16.771123,yes
0,0,0,0.009266,0,0,2.31425,yes
1,1,5,0.654889,0,0,268,no
0.19594,0.355448,0.105222,0.52146,0,0,4,yes
1,1,1,0.25,2,2,7,no
0,0,0,0.145833,0,0,20,no
1,1,1,0.484848,3,3,25,no
0.381436,0,0.651497,0.809458,4.506815,3.79331,30.457214,yes
0.572975,0.222288,1.216407,0.369966,4.997423,0.397296,40.576712,yes
1,1,1,1,0,0,85,no
1,1,2,0.661458,0,0,119,no
0,0,0,0,3,3,15,no
1,1,2,0.757353,0,0,123,no
0.203754,0,0.612132,0.125169,8.189069,2.725605,5.719493,yes
1,1,1,0.333333,0,0,55,no
1,1,1,0.466667,3,3,26,no
0.014104,0,0.4284,0.209964,16.255017,3,82.389405,yes
0,0,0,0,0,0,6,no
1,1,1,1,0,0,5,no
1,1,1,1,0,0,3.716378,yes
0,0,0,0,0,0,8,no
0,0,0,0.5,0,0,125,no
0.12058,0.805612,0.004031,0.27144,0,0,16.946182,yes
0,0,0,0.241147,0,0,81,no
1,1,3,1,0,0,14,yes
0,0,0,0,8.324284,3,49.252311,yes
0,0,0,0.003247,12,4,7,no
0.745705,0.259367,0.473951,0.123836,0,0,29.293728,yes
1,1,3,0.916667,0,0,40,no
1,1,1,0.333333,0,0,5,no
0.219583,0,0.655077,0.018556,12,3.705958,6.515348,yes
0,0,0,0,0,0,78,no
0,0,0,0.75,0,0,93,no
0.25,0,1,0.609279,0,0,41,no
1,1,1,1,0,0,12,no
0.5,0,2,0.479503,2,0.5,85,no
0.170306,0.426566,0.451754,0.080574,0,0,23.676467,yes
0,0,0,0,0,0,9,no
0,0,0,0,0,0,38,no
0,0,0,0.136364,3,3,25,no
0,0,0,0,0,0,1.920269,yes
0.25,0,1,0.534641,12,3,81,no
0.221304,0.999282,0.954362,0.398511,0,0,2.275432,yes
0.843751,0.972409,0.21722,0.359048,4,4,11.83675,yes
0,0,0,0.470588,0,0,12,no
0.5,0,1,0.666667,0,0,4,no
0,0,0,0,4,3.079409,17.909635,yes
1,1,2,1,0,0,26,no
0,0,0,0.15804,3.271357,1.254004,7.713073,yes
1,1,1,0.735294,0,0,233,no
0,0,0,0.101764,2.164442,2.530284,3,yes
1,1,1,1,5,5,7,no
1,1,1,0.777778,0,0,105,no
0,0,0,0.142857,4,4,4,yes
1,1,1,1,0,0,119,no
1,1,1,0.4,4,4,12,no
0,0,0,0.083333,0,0,30,yes
1,1,1,1,0,0,177,no
0,0,0,0.447368,0,0,97,no
0,0,0,0.092488,4,4,7.156515,yes
0,0,0,0.25,3,3,13,no
1,1,1,0.444444,0,0,110,no
1,1,1,0.6,4,4,6,no
0.142857,0,1,0.495789,12,1.714286,233,no
0,0,0,0.0625,3,3,6,no
0,0,0,0.222222,3,3,10,no
0,0,0,0.235341,0.453374,0.601083,22.448841,yes
1,1,1,1,0,0,37,no
0,0,0,0.312192,0,0,18.442843,yes
1,1,1,1,0,0,12,no
1,1,1,0.5,0,0,29,no
1,1,1,0.2,0,0,27,no
0,0,0,0.286779,8.341315,4.008784,17.390499,yes
1,1,1,0.692308,0,0,128,no
0.25055,0,0.215541,0.012603,2.349711,1.008137,48.306598,yes
1,1,1,1,0,0,8,no
1,1,1,0.361111,0,0,49,no
0.56789,0.796748,0.945018,0.234033,0,0,14.351304,yes
1,1,1,0.746988,0,0,259,no
0,0,0,0.08954,2.518906,2.596198,1,yes
0,0,0,0.300909,10,5,51,no
0,0,0,0.277778,4,4,13,no
0.191174,0,0.876634,0.596259,2.78856,1.924509,97,yes
0,0,0,0.279426,0,0,18.706957,yes
0,0,0,0.215018,9,3,78,yes
0.5,0,1,0.325,0,0,6,no
0,0,0,0.425452,0,0,113,no
0.5,0,2,0.266667,0,0,11,no
0.5,0,1,0.657143,0,0,12,no
1,1,1,1,0,0,20,no
0,0,0,0.0625,3,3,11,no
1,1,3,0.885154,0,0,129,no
1,1,1,0.727273,0,0,168,no
